recording,signal,region,created,sizebytes,duration,firstsample,samplerate,gain,minvolts,maxvolts,bitdepth,chanstart,chanend,chansys,nchans
25,ap,hpc,2022-10-06 15:55:04,209214074300,9056.886333333334,6805202,30000,500,-0.6,0.6,512,0,383,384,385
25,ap,pfc,2022-10-06 15:55:04,209213871020,9056.877533333334,6805202,30000,500,-0.6,0.6,512,0,383,384,385
25,lfp,hpc,2022-10-06 15:55:04,17434506320,9056.8864,567100,2500,50,-0.6,0.6,512,0,383,384,385
25,lfp,pfc,2022-10-06 15:55:04,17434489380,9056.8776,567100,2500,125,-0.6,0.6,512,0,383,384,385
26,ap,hpc,2022-10-13 15:30:02,250910587620,10861.9302,8323698,30000,500,-0.6,0.6,512,0,383,384,385
26,ap,pfc,2022-10-13 15:30:02,250910328900,10861.919,8323698,30000,500,-0.6,0.6,512,0,383,384,385
26,lfp,hpc,2022-10-13 15:30:02,20909216020,10861.9304,693641,2500,50,-0.6,0.6,512,0,383,384,385
26,lfp,pfc,2022-10-13 15:30:02,20909194460,10861.9192,693641,2500,125,-0.6,0.6,512,0,383,384,385
27,ap,hpc,2022-10-14 15:35:40,250519076500,10844.981666666667,11120782,30000,500,-0.6,0.6,512,0,383,384,385
27,ap,pfc,2022-10-14 15:35:40,250518827020,10844.970866666667,11120782,30000,500,-0.6,0.6,512,0,383,384,385
27,lfp,hpc,2022-10-14 15:35:40,20876590350,10844.982,926731,2500,50,-0.6,0.6,512,0,383,384,385
27,lfp,pfc,2022-10-14 15:35:40,20876569560,10844.9712,926731,2500,125,-0.6,0.6,512,0,383,384,385
28,ap,hpc,2022-10-18 13:20:21,167464495660,7249.545266666667,22223278,30000,500,-0.6,0.6,512,0,383,384,385
28,ap,pfc,2022-10-18 13:20:21,167464338580,7249.538466666667,22223278,30000,500,-0.6,0.6,512,0,383,384,385
28,lfp,hpc,2022-10-18 13:20:21,13955375280,7249.5456,1851939,2500,50,-0.6,0.6,512,0,383,384,385
28,lfp,pfc,2022-10-18 13:20:21,13955362190,7249.5388,1851939,2500,125,-0.6,0.6,512,0,383,384,385
29,ap,hpc,2022-10-19 13:40:10,167428159360,7247.972266666667,9842848,30000,500,-0.6,0.6,512,0,383,384,385
29,ap,pfc,2022-10-19 13:40:10,167428020760,7247.966266666666,9842848,30000,500,-0.6,0.6,512,0,383,384,385
29,lfp,hpc,2022-10-19 13:40:10,13952346870,7247.9724,820237,2500,50,-0.6,0.6,512,0,383,384,385
29,lfp,pfc,2022-10-19 13:40:10,13952335320,7247.9664,820237,2500,125,-0.6,0.6,512,0,383,384,385
30,ap,hpc,2022-10-20 15:36:01,210192215310,9099.2301,347925,30000,500,-0.6,0.6,512,0,383,384,385
30,ap,pfc,2022-10-20 15:36:01,210192048990,9099.2229,347925,30000,500,-0.6,0.6,512,0,383,384,385
30,lfp,hpc,2022-10-20 15:36:01,17516018520,9099.2304,28993,2500,50,-0.6,0.6,512,0,383,384,385
30,lfp,pfc,2022-10-20 15:36:01,17516004660,9099.2232,28993,2500,125,-0.6,0.6,512,0,383,384,385
31,ap,hpc,2022-10-21 13:15:23,209196649200,9056.132,5413200,30000,500,-0.6,0.6,512,0,383,384,385
31,ap,pfc,2022-10-21 13:15:23,209196445920,9056.1232,5413200,30000,500,-0.6,0.6,512,0,383,384,385
31,lfp,hpc,2022-10-21 13:15:23,17433054100,9056.132,451100,2500,50,-0.6,0.6,512,0,383,384,385
31,lfp,pfc,2022-10-21 13:15:23,17433037160,9056.1232,451100,2500,125,-0.6,0.6,512,0,383,384,385
32,ap,hpc,2022-10-24 14:35:09,167409807950,7247.177833333333,6331397,30000,500,-0.6,0.6,512,0,383,384,385
32,ap,pfc,2022-10-24 14:35:09,167409641630,7247.170633333333,6331397,30000,500,-0.6,0.6,512,0,383,384,385
32,lfp,hpc,2022-10-24 14:35:09,13950817650,7247.178,527616,2500,50,-0.6,0.6,512,0,383,384,385
32,lfp,pfc,2022-10-24 14:35:09,13950803790,7247.1708,527616,2500,125,-0.6,0.6,512,0,383,384,385
33,ap,hpc,2022-10-25 16:00:02,167600345220,7255.4262,5234238,30000,500,-0.6,0.6,512,0,383,384,385
33,ap,pfc,2022-10-25 16:00:02,167600188140,7255.4194,5234238,30000,500,-0.6,0.6,512,0,383,384,385
33,lfp,hpc,2022-10-25 16:00:02,13966695820,7255.4264,436186,2500,50,-0.6,0.6,512,0,383,384,385
33,lfp,pfc,2022-10-25 16:00:02,13966682730,7255.4196,436186,2500,125,-0.6,0.6,512,0,383,384,385
34,ap,hpc,2022-10-27 15:45:10,209420209460,9065.809933333334,13847174,30000,500,-0.6,0.6,512,0,383,384,385
34,ap,pfc,2022-10-27 15:45:10,209420080100,9065.804333333333,13847174,30000,500,-0.6,0.6,512,0,383,384,385
34,lfp,hpc,2022-10-27 15:45:10,17451684250,9065.81,1153931,2500,125,-0.6,0.6,512,0,383,384,385
34,lfp,pfc,2022-10-27 15:45:10,17451673470,9065.8044,1153931,2500,125,-0.6,0.6,512,0,383,384,385
35,ap,hpc,2022-10-28 15:40:06,209308274560,9060.964266666666,5999872,30000,500,-0.6,0.6,512,0,383,384,385
35,ap,pfc,2022-10-28 15:40:06,209308126720,9060.957866666668,5999872,30000,500,-0.6,0.6,512,0,383,384,385
35,lfp,hpc,2022-10-28 15:40:06,17442356470,9060.9644,499989,2500,125,-0.6,0.6,512,0,383,384,385
35,lfp,pfc,2022-10-28 15:40:06,17442344150,9060.958,499989,2500,125,-0.6,0.6,512,0,383,384,385
